ai_app_id,1,2,6,8,9,13,15,17,18,19,21,22,23,24,25,26,27,28,30,32,33,34,36,37,38,39,41,42,43,45,46,47,48,49,51,52
1,,,,,0.85,0.3,,0.75,,,,,,,,,,0.02,,,,,,,0.0,,,,,,,,,,,
2,,,,,,,,,,,,0.0,,,,,0.75,,,,,,,,,,,,,,,0.0,0.05,0.05,,
3,,0.15,,0.2,,,,,,,0.15,,,0.03,0.1,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,0.75,,0.55,0.5,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
5,,,,,,,,0.15,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,0.35,,,,,,
6,0.3,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.05,,,,,,,,,
7,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,,,,,0.0,,,,,,,,
8,,,0.2,,,,,0.15,,,,,,,,,,,0.0,,,,,,,,0.05,,,,,,,,0.3,
9,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,0.0,0.05,,,,,,,,,,,,0.0,,,,,0.1,,0.1
11,,,,,,,,,,0.35,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.02,
12,0.15,,,,,,0.6,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.02,
