ai_app_id,1,2,6,8,9,13,15,17,18,19,21,22,23,24,25,26,27,28,30,32,33,34,36,37,38,39,41,42,43,45,46,47,48,49,51,52
1,,,,,0.85,0.25,,0.8,,,,,,,,,,0.03,,,,,,,0.0,,,,,,,,,,,
2,,,,,,,,,,,,0.03,,,,,0.7,,,,,,,,,,,,,,,0.02,0.05,0.08,,
3,,0.1,,0.35,,,,,,,0.2,,,0.03,0.05,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,0.8,,0.6,0.55,,,,,,0.0,,,,0.02,,,,,,,,,,,,,,,,
5,,,,,,,,0.25,,,,,0.02,,,,,,,0.0,,,,,,0.0,,,,0.4,,,,,,
6,0.25,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.03,,,,,,,,,
7,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,,,,,0.0,,,,,,,,
8,,,0.2,,,,,0.2,,,,,,,,,,,0.0,,,,,,,,0.03,,,,,,,,0.3,
9,,,,,,,,,,0.02,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,0.0,0.05,,,,,,,,,,,,0.02,,,,,0.05,,0.05
11,,,,,,,,,,0.35,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.02,
12,0.15,,,,,,0.3,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.03,
