occ1990dd,occ1990dd_title,lswt2010,pct_software,pct_robot,pct_ai
335.0,File clerks,327279.15903779864,17,25,6
336.0,Records clerks,115596.2869066,39,48,24
337.0,Bookkeepers and accounting and auditing clerks,1338238.0899988264,45,35,14
338.0,Payroll and timekeeping clerks,179809.31714341044,2,2,2
344.0,Billing clerks and related financial records processing,528244.4527698532,13,18,28
347.0,"Office machine operators, n.e.c.",41613.65762165189,91,77,87
348.0,Telephone operators,87615.27429550886,83,59,35
349.0,Other telecom operators,14159.10508364439,,,
354.0,"Postal clerks, exluding mail carriers",233314.4259610474,21,64,3
355.0,Mail carriers for postal service,358821.96471143514,1,1,1
356.0,"Mail clerks, outside of post office",100194.82180398703,79,79,92
357.0,Messengers,296275.3365512639,30,68,13
359.0,Dispatchers,316469.46457242966,96,54,100
364.0,Shipping and receiving clerks,649099.7262674868,79,37,77
365.0,Stock and inventory clerks,1436739.3266955018,6,19,18
366.0,Meter readers,42934.98703312874,44,75,9
368.0,"Weighers, measurers, and checkers",86775.75079447031,98,64,63
373.0,"Material recording, sched., prod., plan., expediting cl.",346396.8233959675,72,3,23
375.0,"Insurance adjusters, examiners, and investigators",683241.8883435428,44,18,53
376.0,"Customer service reps, invest., adjusters, excl. insur.",2501494.4582629725,38,10,42
377.0,"Eligibility clerks for government prog., social welfare",81565.1594876945,5,1,21
378.0,Bill and account collectors,259173.03657585382,2,2,9
379.0,General office clerks,1175376.3156217784,47,41,16
383.0,Bank tellers,410186.14289703965,20,17,24
384.0,Proofreaders,10705.222548171878,64,47,93
385.0,Data entry keyers,393035.53287924826,63,60,94
386.0,Statistical clerks,25419.190258681774,61,7,67
387.0,Teacher's aides,891090.0573837459,7,33,7
389.0,"Administrative support jobs, n.e.c.",749662.8407988399,26,33,21
405.0,"Housekeepers, maids, butlers, and cleaners",1258315.9915059656,42,97,5
408.0,Laundry and dry cleaning workers,194444.74625973403,66,80,63
413.0,"Supervisors, firefighting and fire prevention occupations",80080.59037709236,37,36,58
414.0,"Supervisors, police and detectives",161824.66574466228,21,47,29
415.0,Supervisors of guards,107414.57179614902,,,
417.0,"Fire inspection, fire fighting, and fire prevention occupations",451055.74763689935,25,51,58
418.0,"Police and detectives, public service",1119405.7434292734,63,38,77
423.0,"Sheriffs, bailiffs, correctional institution officers",559859.4687236547,59,54,28
425.0,Crossing guards,33284.890581309795,15,10,16
426.0,"Guards and police, except public service",1027151.0918217897,67,54,76
427.0,"Protective service, n.e.c.",139444.24236109853,20,75,46
433.0,Supervisors of food preparation and service,609248.5544302762,67,9,26
434.0,Bartenders,372982.63036996126,7,84,6
435.0,Waiters and waitresses,1712017.2203887254,16,47,7
436.0,Cooks,2487284.209035944,9,62,21
439.0,Food preparation workers,642027.1292764992,2,75,1
444.0,Miscellanious food preparation and service workers,1197866.428406708,7,76,7
445.0,Dental Assistants,263614.98374930024,62,59,14
447.0,Health and nursing aides,4078450.8699363843,30,57,26
448.0,Supervisors of cleaning and building service,255581.87694576383,37,26,76
450.0,"Superv. of landscaping, lawn service, groundskeeping",237586.76181262732,15,25,35
451.0,Gardeners and groundskeepers,1245313.1356153637,49,73,52
453.0,Janitors,2242324.092071466,80,98,31
455.0,Pest control occupations,79999.27158081532,100,96,100
457.0,Barbers,84775.19449704885,1,4,2
458.0,Hairdressers and cosmetologists,1004022.201260984,15,55,28
459.0,Recreation facility attendants,227538.31777827442,70,80,40
461.0,Guides,36836.946132183075,27,54,20
462.0,Ushers,18437.183836877346,44,79,21
464.0,"Baggage porters, bellhops and concierges",81878.80558335781,91,84,14
466.0,Recreation and fitness workers,325537.6045539975,17,19,14
467.0,Motion picture projectionists,8952.537775039673,79,96,76
468.0,Childcareworkers,1222505.3691341355,38,53,25
469.0,"Personal service occupations, n.e.c",198478.94089079648,21,60,13
470.0,"Supervisors of personal service jobs, n.e.c",215311.01219558716,15,9,21
471.0,Public transportation attendants,116988.79410028458,7,75,7
472.0,"Animal caretakers, except farm",168347.60492947698,7,60,1
473.0,"Farmers, ranchers, and other agricultural managers",835688.2476890385,94,55,94
479.0,"Farm workers, incl. nursery farming, and marine life cultivation workers",915765.8374105394,97,93,93
488.0,Graders and sorters of agricultural products,65280.78547888994,15,54,82
489.0,Inspectors of agricultural products,20411.09911084175,82,67,93
494.0,"Supervisors, forestry and logging workers",70949.97500860691,82,60,100
496.0,"Timber, logging, and forestry workers",103616.39257755876,91,81,55
498.0,Fishing and hunting workers,44574.44357728958,61,65,28
503.0,Supervisors of mechanics and repairers,390837.6616862416,70,51,94
505.0,Automobile mechanics and repairers,986409.6544909477,24,61,45
507.0,"Bus, truck, and stationary engine mechanics",348356.81168568134,60,92,59
508.0,Aircraft mechanics,215867.22303283215,22,77,40
509.0,Small engine repairers,52095.07334828377,62,66,54
514.0,Auto body repairers,214759.74254530668,17,69,21
516.0,Heavy equipement and farm equipment mechanics,257461.81586551666,78,81,60
518.0,Industrial machinery repairers,443901.2174535394,64,82,66
519.0,Machinery maintenance occupations,30799.871072351933,72,81,76
523.0,Repairers of industrial electrical equipment,105984.87244546413,71,59,84
525.0,Repairers of data processing equipment,284811.7365093529,66,68,67
526.0,Repairers of household appliances and power tools,43623.432785093784,61,68,67
527.0,Telecom and line installers and repairers,404106.43907251954,69,68,58
533.0,"Repairers of electrical equipment, n.e.c.",83553.36999821663,30,61,35
534.0,"Heating, air conditioning, and refrigeration mechanics",370934.87764263153,47,69,24
535.0,Precision instrument and equipment repairers,72911.76664829254,39,67,46
536.0,Locksmiths and safe repairers,30149.07720017433,5,33,7
539.0,Repairers of mechanical controls and valves,25899.210877895355,65,66,46
543.0,Elevator installers and repairers,33735.09161281586,100,98,100
544.0,Millwrights,56371.964547753334,33,89,34
549.0,"Mechanics and repairers, n.e.c.",939240.42516689,91,84,57
558.0,Supervisors of construction work,1002177.8961646855,41,48,87
563.0,"Masons, tilers, and carpet installers",333401.0167643428,49,92,35
567.0,Carpenters,1299373.7455910742,82,77,85
573.0,Drywall installers,136711.18988615274,39,61,35
575.0,Electricians,885801.5667665303,40,67,60
577.0,Electric power installers and repairers,139480.9691516161,67,75,44
579.0,"Painters, construction and maintenance",570005.34406133,84,80,54
583.0,Paperhangers,3946.2171406149864,64,68,26
584.0,Plasterers,33032.8958389163,60,66,23
585.0,"Plumbers, pipe fitters, and steamfitters",580333.3813821077,74,83,43
588.0,Concrete and cement workers,68312.33547770977,37,74,20
589.0,Glaziers,45347.07767057419,91,81,85
593.0,Insulation workers,87387.11157405376,66,77,44
594.0,"Paving, surfacing, and tamping equipment operators",18070.816464662552,99,96,81
595.0,Roofers,225531.93626448512,70,80,54
597.0,Structural metal workers,112969.84273293614,71,96,34
598.0,Drillers of earth,31040.493101000786,75,80,82
599.0,Misc. construction and related occupations,83195.47176712751,44,68,57
614.0,Drillers of oil wells,57472.76841402054,59,84,53
615.0,Explosives workers,20567.80583500862,63,92,23
616.0,Miners,87365.6582813263,98,96,89
617.0,Other mining occupations,99683.98239681125,59,79,54
628.0,Production supervisors or foremen,1101857.7480014563,56,38,96
634.0,Tool and die makers and die setters,67404.50572055578,59,67,52
637.0,Machinists,404955.789054662,93,75,90
643.0,Boilermakers,27775.05117368698,24,91,21
644.0,Precision grinders and fitters,7080.990348339081,70,88,91
645.0,"Patternmakers and model makers, metal and plastic",6242.529628634453,90,67,75
647.0,647=Jewelers and precious stone and metal workers,38923.87626540661,20,64,81
649.0,Engravers,9410.727818965912,72,91,34
653.0,Sheet metal workers,137843.25249806046,24,52,57
657.0,Cabinetmakers and bench carpeters,64166.75762194395,44,66,20
658.0,Furniture and wood finishers,15448.259006530046,7,60,26
666.0,"Tailors, dressmakers, and sewers",72514.22643001378,39,61,57
668.0,Upholsterers,39076.407321065664,75,79,81
669.0,Shoe and leather workers and repairers,10522.169560432434,2,52,13
675.0,"Hand molders, shapers, and casters, except jewelers",44033.9284940958,44,67,25
677.0,Optical goods workers,53158.074137449265,63,79,34
678.0,Dental laboratory and medical applicance technicians,97029.98804610968,87,91,81
684.0,"Miscellaneous precision workers, n.e.c.",411468.71758407354,98,79,75
686.0,Butchers and meat cutters,288719.9823567867,6,41,33
687.0,Bakers,188470.31172984838,24,52,14
688.0,Batch food makers,86532.0307598114,91,60,76
694.0,Water and sewage treatment plant operators,94422.38117033243,100,69,100
695.0,Power plant operators,58074.19516539574,100,82,100
696.0,"Plant and system operators, stationary engineers",114347.2260145545,63,59,75
699.0,Other plant and system operators,51956.18848657608,98,80,92
703.0,Lathe and turning machine operatives,11474.900647640228,18,59,34
706.0,Punching and stamping press operatives,95926.15997079015,72,77,80
707.0,"Rollers, roll hands, and finishers of metal",9320.188977718353,82,65,85
708.0,Drilling and boring machine operators,4311.811161279678,30,64,75
709.0,"Grinding, abrading, buffing, and polishing workers",48315.52757883072,96,79,91
713.0,Forge and hammer operators,8541.649315834045,75,92,92
719.0,Molders and casting machine operators,46790.451670885086,85,93,47
723.0,Metal platers,19196.618009090424,96,96,84
724.0,Heat treating equipment operators,9454.86880683899,37,54,35
727.0,Sawing machine operators and sawyers,34275.43060974032,70,67,43
729.0,"Nail, tacking, shaping and joining mach ops (wood)",22857.01563835144,99,92,91
733.0,Misc. woodworking machine operators,31771.90465053916,90,51,93
734.0,"Bookbinders and printing machine operators, n.e.c.",261994.5251672864,97,81,89
736.0,Typesetters and compositors,36838.572841882706,91,57,99
738.0,Winding and twisting textile and apparel operatives,12792.073758602142,98,79,92
739.0,"Knitters, loopers, and toppers textile operatives",9323.355728209019,98,79,100
743.0,Textile cutting and dyeing machine operators,11136.77035844326,98,88,98
744.0,Textile sewing machine operators,205365.1629317701,32,74,47
745.0,Shoemaking machine operators,4755.579142093658,39,69,2
747.0,Clothing pressing machine operators,45424.8832590878,19,53,21
749.0,Miscellanious textile machine operators,24387.50176179409,93,58,84
753.0,Cementing and gluing machne operators,15300.284461677074,50,60,84
754.0,"Packers, fillers, and wrappers",278257.3366751969,39,68,26
755.0,Extruding and forming machine operators,49606.44326925278,62,79,59
756.0,Mixing and blending machine operators,109468.81955876946,92,66,33
757.0,"Separating, filtering, and clarifying machine operators",68528.30399680138,96,69,80
763.0,Food roasting and baking machine operators,10247.668543100357,93,92,9
764.0,"Washing, cleaning, and pickling machine operators",8331.214777946472,99,67,93
765.0,Paper folding machine operators,29889.6138009727,75,67,77
766.0,"Furnance, kiln, and oven operators, apart from food",40743.364429712296,79,66,54
769.0,Slicing and cutting machine operators,76017.89323826134,62,78,52
774.0,Photographic process machine operators,52054.21758198738,74,62,89
779.0,"Machine operators, n.e.c.",1433001.9326051623,88,89,64
783.0,"Welders, solderers, and metal cutters",649536.317296505,61,82,30
785.0,Assemblers of electrical equipment,1118792.1966327578,72,72,55
789.0,Painting and decoration occupations,162317.01530075073,84,92,76
799.0,"Production checkers, graders, and sorters in manufacturing",921809.8137441128,90,64,98
803.0,Supervisors of motor vehicle transportation,276814.17483592033,47,64,45
804.0,Driver/sales workers and truck Drivers,3663774.068476975,75,85,35
808.0,Bus drivers,515988.95747068524,83,92,45
809.0,Taxi drivers and chauffeurs,362318.03570076823,71,89,46
813.0,Parking lot attendants,70531.41480624676,100,77,92
814.0,"Motor transportation occupations, n.e.c.",49339.42946565151,62,79,14
823.0,Railroad conductors and yardmasters,52758.26029253006,30,77,34
824.0,Locomotive operators: engineers and firemen,83986.84038370848,100,97,100
825.0,"Railroad brake, coupler, and switch operators",6880.760997533798,92,84,67
828.0,Ship and boat captains and operators,65241.29089444876,79,80,91
829.0,"Sailors and deckhands, ship/marine engineers",49433.61630517244,64,69,21
834.0,Miscellanious transportation occupations,25031.244510173798,98,93,93
844.0,Operating engineers of construction equipment,392421.5901976973,99,100,83
848.0,Hoist and winch operators,15274.632566034794,99,96,93
849.0,Crane and tower operators,84540.07281577587,98,96,89
853.0,Excavating and loading machine operators,48464.85138404369,99,96,83
856.0,Industrial truck and tractor operators,550109.6439017653,96,100,64
859.0,Misc. material moving equipment operators,95462.18521380424,99,91,59
865.0,"Helpers, constructions",22403.685730099678,84,96,35
866.0,"Helpers, surveyors",64728.06555353105,44,96,14
869.0,Construction laborers,1754061.1863751523,68,88,48
873.0,Production helpers,52162.23342400789,63,83,24
875.0,Garbage and recyclable material collectors,93624.87845094502,93,96,53
878.0,Machine feeders and offbearers,40207.821232676506,99,96,34
885.0,Garage and service station related occupations,201648.911898762,26,81,25
887.0,Vehicle washers and equipment cleaners,338917.93172957003,39,80,20
888.0,Packers and packagers by hand,427109.7759063244,100,97,92
889.0,"Laborers, freight, stock, and material handlers, n.e.c.",1993728.1308776364,85,94,49
