onet_name,onetsoccode,occ1990dd,occ1990dd_title,occ,acs,acs_title,_merge_acs,_merge_occdd
Wind Energy Project Managers,11-9199.10,22.0,"Managers and administrators, n.e.c.",430,119XXX,"Miscellaneous Managers, Including Funeral Service Managers and Postmasters and Mail Superintendents",3,3
"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,34.0,Business and promotion agents,500,131011,"Agents and Business Managers of Artists, Performers, and Athletes",3,3
"Buyers and Purchasing Agents, Farm Products",13-1021.00,28.0,Purchasing agents and buyers of farm products,510,131021,"Buyers and Purchasing Agents, Farm Products",3,3
"Wholesale and Retail Buyers, Except Farm Products",13-1022.00,29.0,"Buyers, wholesale and retail trade",520,131022,"Wholesale and Retail Buyers, Except Farm Products",3,3
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023.00,33.0,"Purchasing agents and buyers, n.e.c.",530,131023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3,3
"Insurance Appraisers, Auto Damage",13-1032.00,375.0,"Insurance adjusters, examiners, and investigators",540,131030,"Claims Adjusters, Appraisers, Examiners, and Investigators",3,3
"Insurance Adjusters, Examiners, and Investigators",13-1031.02,375.0,"Insurance adjusters, examiners, and investigators",540,131030,"Claims Adjusters, Appraisers, Examiners, and Investigators",3,3
"Claims Examiners, Property and Casualty Insurance",13-1031.01,375.0,"Insurance adjusters, examiners, and investigators",540,131030,"Claims Adjusters, Appraisers, Examiners, and Investigators",3,3
Coroners,13-1041.06,36.0,"Inspectors and compliance officers, outside",565,131041,Compliance Officers,3,3
Government Property Inspectors and Investigators,13-1041.04,36.0,"Inspectors and compliance officers, outside",565,131041,Compliance Officers,3,3
Environmental Compliance Inspectors,13-1041.01,36.0,"Inspectors and compliance officers, outside",565,131041,Compliance Officers,3,3
Licensing Examiners and Inspectors,13-1041.02,36.0,"Inspectors and compliance officers, outside",565,131041,Compliance Officers,3,3
Regulatory Affairs Specialists,13-1041.07,36.0,"Inspectors and compliance officers, outside",565,131041,Compliance Officers,3,3
Equal Opportunity Representatives and Officers,13-1041.03,36.0,"Inspectors and compliance officers, outside",565,131041,Compliance Officers,3,3
Cost Estimators,13-1051.00,22.0,"Managers and administrators, n.e.c.",600,131051,Cost Estimators,3,3
Human Resources Specialists,13-1071.00,27.0,"Personnel, HR, training, and labor rel. specialists",630,131070,Human Resources Workers,3,3
Farm Labor Contractors,13-1074.00,27.0,"Personnel, HR, training, and labor rel. specialists",630,131070,Human Resources Workers,3,3
Labor Relations Specialists,13-1075.00,27.0,"Personnel, HR, training, and labor rel. specialists",630,131070,Human Resources Workers,3,3
"Compensation, Benefits, and Job Analysis Specialists",13-1141.00,27.0,"Personnel, HR, training, and labor rel. specialists",640,131141,"Compensation, Benefits, and Job Analysis Specialists",3,3
Training and Development Specialists,13-1151.00,27.0,"Personnel, HR, training, and labor rel. specialists",650,131151,Training and Development Specialists,3,3
Logistics Analysts,13-1081.02,65.0,Operations and systems researchers and analysts,700,131081,Logisticians,3,3
Logisticians,13-1081.00,65.0,Operations and systems researchers and analysts,700,131081,Logisticians,3,3
Logistics Engineers,13-1081.01,65.0,Operations and systems researchers and analysts,700,131081,Logisticians,3,3
Management Analysts,13-1111.00,26.0,Management analysts,710,131111,Management Analysts,3,3
"Meeting, Convention, and Event Planners",13-1121.00,22.0,"Managers and administrators, n.e.c.",725,131121,"Meeting, Convention, and Event Planners",3,3
Fundraisers,13-1131.00,37.0,Management support occupations,726,131131,Fundraisers,3,3
Survey Researchers,19-3022.00,166.0,"Economists, market and survey researchers",735,131161,Market Research Analysts and Marketing Specialists,3,3
Energy Auditors,13-1199.01,37.0,Management support occupations,740,131199,"Business Operations Specialists, All Other",3,3
Sustainability Specialists,13-1199.05,37.0,Management support occupations,740,131199,"Business Operations Specialists, All Other",3,3
Online Merchants,13-1199.06,37.0,Management support occupations,740,131199,"Business Operations Specialists, All Other",3,3
Business Continuity Planners,13-1199.04,37.0,Management support occupations,740,131199,"Business Operations Specialists, All Other",3,3
Customs Brokers,13-1199.03,37.0,Management support occupations,740,131199,"Business Operations Specialists, All Other",3,3
Security Management Specialists,13-1199.02,37.0,Management support occupations,740,131199,"Business Operations Specialists, All Other",3,3
Accountants,13-2011.01,23.0,Accountants and auditors,800,132011,Accountants and Auditors,3,3
Auditors,13-2011.02,23.0,Accountants and auditors,800,132011,Accountants and Auditors,3,3
"Appraisers, Real Estate",13-2021.02,254.0,Real estate sales occupations,810,132021,Appraisers and Assessors of Real Estate,3,3
Assessors,13-2021.01,254.0,Real estate sales occupations,810,132021,Appraisers and Assessors of Real Estate,3,3
Budget Analysts,13-2031.00,25.0,Other financial specialists,820,132031,Budget Analysts,3,3
Credit Analysts,13-2041.00,25.0,Other financial specialists,830,132041,Credit Analysts,3,3
Financial Analysts,13-2051.00,25.0,Other financial specialists,840,132051,Financial Analysts,3,3
Personal Financial Advisors,13-2052.00,25.0,Other financial specialists,850,132052,Personal Financial Advisors,3,3
Insurance Underwriters,13-2053.00,24.0,Insurance underwriters,860,132053,Insurance Underwriters,3,3
Financial Examiners,13-2061.00,36.0,"Inspectors and compliance officers, outside",900,132061,Financial Examiners,3,3
Credit Counselors,13-2071.00,25.0,Other financial specialists,910,132070,Credit Counselors and Loan Officers,3,3
Loan Counselors,13-2071.01,25.0,Other financial specialists,910,132070,Credit Counselors and Loan Officers,3,3
Loan Officers,13-2072.00,25.0,Other financial specialists,910,132070,Credit Counselors and Loan Officers,3,3
"Tax Examiners and Collectors, and Revenue Agents",13-2081.00,23.0,Accountants and auditors,930,132081,"Tax Examiners and Collectors, and Revenue Agents",3,3
Tax Preparers,13-2082.00,25.0,Other financial specialists,940,132082,Tax Preparers,3,3
Risk Management Specialists,13-2099.02,25.0,Other financial specialists,950,132099,"Financial Specialists, All Other",3,3
"Fraud Examiners, Investigators and Analysts",13-2099.04,25.0,Other financial specialists,950,132099,"Financial Specialists, All Other",3,3
Financial Quantitative Analysts,13-2099.01,25.0,Other financial specialists,950,132099,"Financial Specialists, All Other",3,3
Computer and Information Research Scientists,15-1111.00,64.0,Computer systems analysts and computer scientists,1005,151111,Computer Scientists and Systems Analysts,3,3
Informatics Nurse Specialists,15-1121.01,64.0,Computer systems analysts and computer scientists,1006,151121,Computer and Information Research Scientists,3,3
Computer Systems Analysts,15-1121.00,64.0,Computer systems analysts and computer scientists,1006,151121,Computer and Information Research Scientists,3,3
Information Security Analysts,15-1122.00,64.0,Computer systems analysts and computer scientists,1007,151122,Information Security Analysts,3,3
Computer Programmers,15-1131.00,229.0,Computer programmers,1010,151131,Computer Programmers,3,3
"Software Developers, Applications",15-1132.00,64.0,Computer systems analysts and computer scientists,1020,15113X,,3,3
"Software Developers, Systems Software",15-1133.00,64.0,Computer systems analysts and computer scientists,1020,15113X,,3,3
Web Developers,15-1134.00,64.0,Computer systems analysts and computer scientists,1030,151134,Web Developers,3,3
Computer User Support Specialists,15-1151.00,64.0,Computer systems analysts and computer scientists,1050,151150,Computer Support Specialists,3,3
Computer Network Support Specialists,15-1152.00,64.0,Computer systems analysts and computer scientists,1050,151150,Computer Support Specialists,3,3
Database Administrators,15-1141.00,64.0,Computer systems analysts and computer scientists,1060,151141,Database Administrators,3,3
Network and Computer Systems Administrators,15-1142.00,64.0,Computer systems analysts and computer scientists,1105,151142,Network and Computer Systems Administrators,3,3
Telecommunications Engineering Specialists,15-1143.01,64.0,Computer systems analysts and computer scientists,1106,151143,Computer Network Architects,3,3
Web Administrators,15-1199.03,64.0,Computer systems analysts and computer scientists,1107,151199,"Computer Occupations, All Other",3,3
Video Game Designers,15-1199.11,64.0,Computer systems analysts and computer scientists,1107,151199,"Computer Occupations, All Other",3,3
Geospatial Information Scientists and Technologists,15-1199.04,64.0,Computer systems analysts and computer scientists,1107,151199,"Computer Occupations, All Other",3,3
Database Architects,15-1199.06,64.0,Computer systems analysts and computer scientists,1107,151199,"Computer Occupations, All Other",3,3
Search Marketing Strategists,15-1199.10,64.0,Computer systems analysts and computer scientists,1107,151199,"Computer Occupations, All Other",3,3
Geographic Information Systems Technicians,15-1199.05,64.0,Computer systems analysts and computer scientists,1107,151199,"Computer Occupations, All Other",3,3
Business Intelligence Analysts,15-1199.08,64.0,Computer systems analysts and computer scientists,1107,151199,"Computer Occupations, All Other",3,3
Computer Systems Engineers/Architects,15-1199.02,64.0,Computer systems analysts and computer scientists,1107,151199,"Computer Occupations, All Other",3,3
Information Technology Project Managers,15-1199.09,64.0,Computer systems analysts and computer scientists,1107,151199,"Computer Occupations, All Other",3,3
Document Management Specialists,15-1199.12,64.0,Computer systems analysts and computer scientists,1107,151199,"Computer Occupations, All Other",3,3
Software Quality Assurance Engineers and Testers,15-1199.01,64.0,Computer systems analysts and computer scientists,1107,151199,"Computer Occupations, All Other",3,3
Actuaries,15-2011.00,66.0,Actuaries,1200,152011,Actuaries,3,3
Operations Research Analysts,15-2031.00,65.0,Operations and systems researchers and analysts,1220,152031,Operations Research Analysts,3,3
Statisticians,15-2041.00,68.0,Mathematicians and statisticians,1240,1520XX,"Miscellaneous mathematical science occupations, including mathematicians and statisticians",3,3
Clinical Data Managers,15-2041.02,68.0,Mathematicians and statisticians,1240,1520XX,"Miscellaneous mathematical science occupations, including mathematicians and statisticians",3,3
Mathematicians,15-2021.00,68.0,Mathematicians and statisticians,1240,1520XX,"Miscellaneous mathematical science occupations, including mathematicians and statisticians",3,3
Biostatisticians,15-2041.01,68.0,Mathematicians and statisticians,1240,1520XX,"Miscellaneous mathematical science occupations, including mathematicians and statisticians",3,3
"Architects, Except Landscape and Naval",17-1011.00,43.0,Architects,1300,171010,"Architects, Except Naval",3,3
Landscape Architects,17-1012.00,43.0,Architects,1300,171010,"Architects, Except Naval",3,3
Cartographers and Photogrammetrists,17-1021.00,218.0,"Surveryors, cartographers, mapping scientists/techs",1310,171020,"Surveyors, Cartographers, and Photogrammetrists",3,3
Geodetic Surveyors,17-1022.01,218.0,"Surveryors, cartographers, mapping scientists/techs",1310,171020,"Surveyors, Cartographers, and Photogrammetrists",3,3
Surveyors,17-1022.00,218.0,"Surveryors, cartographers, mapping scientists/techs",1310,171020,"Surveyors, Cartographers, and Photogrammetrists",3,3
Aerospace Engineers,17-2011.00,44.0,Aerospace engineers,1320,172011,Aerospace Engineers,3,3
Agricultural Engineers,17-2021.00,59.0,"Engineers and other professionals, n.e.c.",1340,1720XX,Biomedical and agricultural engineers,3,3
Biomedical Engineers,17-2031.00,59.0,"Engineers and other professionals, n.e.c.",1340,1720XX,Biomedical and agricultural engineers,3,3
Chemical Engineers,17-2041.00,48.0,Chemical engineers,1350,172041,Chemical Engineers,3,3
Transportation Engineers,17-2051.01,53.0,Civil engineers,1360,172051,Civil Engineers,3,3
Civil Engineers,17-2051.00,53.0,Civil engineers,1360,172051,Civil Engineers,3,3
Computer Hardware Engineers,17-2061.00,55.0,Electrical engineers,1400,172061,Computer Hardware Engineers,3,3
Radio Frequency Identification Device Specialists,17-2072.01,55.0,Electrical engineers,1410,172070,Electrical and Electronics Engineers,3,3
"Electronics Engineers, Except Computer",17-2072.00,55.0,Electrical engineers,1410,172070,Electrical and Electronics Engineers,3,3
Electrical Engineers,17-2071.00,55.0,Electrical engineers,1410,172070,Electrical and Electronics Engineers,3,3
Water/Wastewater Engineers,17-2081.01,59.0,"Engineers and other professionals, n.e.c.",1420,172081,Environmental Engineers,3,3
Environmental Engineers,17-2081.00,59.0,"Engineers and other professionals, n.e.c.",1420,172081,Environmental Engineers,3,3
Industrial Engineers,17-2112.00,56.0,Industrial engineers,1430,172110,"Industrial Engineers, including Health and Safety",3,3
Fire-Prevention and Protection Engineers,17-2111.02,56.0,Industrial engineers,1430,172110,"Industrial Engineers, including Health and Safety",3,3
Product Safety Engineers,17-2111.03,56.0,Industrial engineers,1430,172110,"Industrial Engineers, including Health and Safety",3,3
Industrial Safety and Health Engineers,17-2111.01,56.0,Industrial engineers,1430,172110,"Industrial Engineers, including Health and Safety",3,3
Human Factors Engineers and Ergonomists,17-2112.01,56.0,Industrial engineers,1430,172110,"Industrial Engineers, including Health and Safety",3,3
Marine Architects,17-2121.02,58.0,Marine engineers and naval architects,1440,172121,Marine Engineers and Naval Architects,3,3
Marine Engineers,17-2121.01,58.0,Marine engineers and naval architects,1440,172121,Marine Engineers and Naval Architects,3,3
Materials Engineers,17-2131.00,45.0,Metallurgical and materials engineers,1450,172131,Materials Engineers,3,3
Mechanical Engineers,17-2141.00,57.0,Mechanical engineers,1460,172141,Mechanical Engineers,3,3
Fuel Cell Engineers,17-2141.01,57.0,Mechanical engineers,1460,172141,Mechanical Engineers,3,3
Automotive Engineers,17-2141.02,57.0,Mechanical engineers,1460,172141,Mechanical Engineers,3,3
"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151.00,47.0,"Petroleum, mining, and geological engineers",1520,1721XX,"Petroleum, mining and geological engineers, including mining safety engineers",3,3
Petroleum Engineers,17-2171.00,47.0,"Petroleum, mining, and geological engineers",1520,1721XX,"Petroleum, mining and geological engineers, including mining safety engineers",3,3
Biochemical Engineers,17-2199.01,59.0,"Engineers and other professionals, n.e.c.",1530,1721YY,Miscellaneous engineeers including nuclear engineers,3,3
Robotics Engineers,17-2199.08,59.0,"Engineers and other professionals, n.e.c.",1530,1721YY,Miscellaneous engineeers including nuclear engineers,3,3
Mechatronics Engineers,17-2199.05,59.0,"Engineers and other professionals, n.e.c.",1530,1721YY,Miscellaneous engineeers including nuclear engineers,3,3
Energy Engineers,17-2199.03,59.0,"Engineers and other professionals, n.e.c.",1530,1721YY,Miscellaneous engineeers including nuclear engineers,3,3
Wind Energy Engineers,17-2199.10,59.0,"Engineers and other professionals, n.e.c.",1530,1721YY,Miscellaneous engineeers including nuclear engineers,3,3
Solar Energy Systems Engineers,17-2199.11,59.0,"Engineers and other professionals, n.e.c.",1530,1721YY,Miscellaneous engineeers including nuclear engineers,3,3
Photonics Engineers,17-2199.07,59.0,"Engineers and other professionals, n.e.c.",1530,1721YY,Miscellaneous engineeers including nuclear engineers,3,3
Nanosystems Engineers,17-2199.09,59.0,"Engineers and other professionals, n.e.c.",1530,1721YY,Miscellaneous engineeers including nuclear engineers,3,3
Validation Engineers,17-2199.02,59.0,"Engineers and other professionals, n.e.c.",1530,1721YY,Miscellaneous engineeers including nuclear engineers,3,3
Nuclear Engineers,17-2161.00,59.0,"Engineers and other professionals, n.e.c.",1530,1721YY,Miscellaneous engineeers including nuclear engineers,3,3
Manufacturing Engineers,17-2199.04,59.0,"Engineers and other professionals, n.e.c.",1530,1721YY,Miscellaneous engineeers including nuclear engineers,3,3
Microsystems Engineers,17-2199.06,59.0,"Engineers and other professionals, n.e.c.",1530,1721YY,Miscellaneous engineeers including nuclear engineers,3,3
Architectural Drafters,17-3011.01,217.0,Drafters,1540,173010,Drafters,3,3
Electronic Drafters,17-3012.01,217.0,Drafters,1540,173010,Drafters,3,3
Mechanical Drafters,17-3013.00,217.0,Drafters,1540,173010,Drafters,3,3
Electrical Drafters,17-3012.02,217.0,Drafters,1540,173010,Drafters,3,3
Civil Drafters,17-3011.02,217.0,Drafters,1540,173010,Drafters,3,3
Electrical Engineering Technicians,17-3023.03,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Nanotechnology Engineering Technologists,17-3029.11,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Electronics Engineering Technicians,17-3023.01,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Manufacturing Engineering Technologists,17-3029.06,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Manufacturing Production Technicians,17-3029.09,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Industrial Engineering Technicians,17-3026.00,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Robotics Technicians,17-3024.01,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Electro-Mechanical Technicians,17-3024.00,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Non-Destructive Testing Specialists,17-3029.01,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Environmental Engineering Technicians,17-3025.00,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Industrial Engineering Technologists,17-3029.05,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Nanotechnology Engineering Technicians,17-3029.12,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Electromechanical Engineering Technologists,17-3029.03,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Civil Engineering Technicians,17-3022.00,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Aerospace Engineering and Operations Technicians,17-3021.00,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Electrical Engineering Technologists,17-3029.02,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Photonics Technicians,17-3029.08,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Mechanical Engineering Technicians,17-3027.00,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Electronics Engineering Technologists,17-3029.04,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Mechanical Engineering Technologists,17-3029.07,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Automotive Engineering Technicians,17-3027.01,214.0,Engineering and science technicians,1550,173020,"Engineering Technicians, Except Drafters",3,3
Mapping Technicians,17-3031.02,218.0,"Surveryors, cartographers, mapping scientists/techs",1560,173031,Surveying and Mapping Technicians,3,3
Surveying Technicians,17-3031.01,218.0,"Surveryors, cartographers, mapping scientists/techs",1560,173031,Surveying and Mapping Technicians,3,3
Animal Scientists,19-1011.00,77.0,Agricultural and food scientists,1600,191010,Agricultural and Food Scientists,3,3
Soil and Plant Scientists,19-1013.00,77.0,Agricultural and food scientists,1600,191010,Agricultural and Food Scientists,3,3
Food Scientists and Technologists,19-1012.00,77.0,Agricultural and food scientists,1600,191010,Agricultural and Food Scientists,3,3
Biochemists and Biophysicists,19-1021.00,78.0,Biological scientists,1610,191020,Biological Scientists,3,3
Microbiologists,19-1022.00,78.0,Biological scientists,1610,191020,Biological Scientists,3,3
Bioinformatics Scientists,19-1029.01,78.0,Biological scientists,1610,191020,Biological Scientists,3,3
Zoologists and Wildlife Biologists,19-1023.00,78.0,Biological scientists,1610,191020,Biological Scientists,3,3
Molecular and Cellular Biologists,19-1029.02,78.0,Biological scientists,1610,191020,Biological Scientists,3,3
Geneticists,19-1029.03,78.0,Biological scientists,1610,191020,Biological Scientists,3,3
Range Managers,19-1031.02,79.0,Foresters and conservation scientists,1640,191030,Conservation Scientists and Foresters,3,3
Foresters,19-1032.00,79.0,Foresters and conservation scientists,1640,191030,Conservation Scientists and Foresters,3,3
Soil and Water Conservationists,19-1031.01,79.0,Foresters and conservation scientists,1640,191030,Conservation Scientists and Foresters,3,3
Park Naturalists,19-1031.03,79.0,Foresters and conservation scientists,1640,191030,Conservation Scientists and Foresters,3,3
Epidemiologists,19-1041.00,83.0,Medical scientists,1650,1910XX,"Medical Scientists, and Life Scientists, All Other",3,3
"Medical Scientists, Except Epidemiologists",19-1042.00,83.0,Medical scientists,1650,1910XX,"Medical Scientists, and Life Scientists, All Other",3,3
Physicists,19-2012.00,69.0,Physicists and astronomists,1700,192010,Astronomers and Physicists,3,3
Astronomers,19-2011.00,69.0,Physicists and astronomists,1700,192010,Astronomers and Physicists,3,3
Atmospheric and Space Scientists,19-2021.00,74.0,Atmospheric and space scientists,1710,192021,Atmospheric and Space Scientists,3,3
Materials Scientists,19-2032.00,73.0,Chemists,1720,192030,Chemists and Materials Scientists,3,3
Chemists,19-2031.00,73.0,Chemists,1720,192030,Chemists and Materials Scientists,3,3
"Environmental Scientists and Specialists, Including Health",19-2041.00,75.0,Geologists,1740,192040,Environmental Scientists and Geoscientists,3,3
Industrial Ecologists,19-2041.03,75.0,Geologists,1740,192040,Environmental Scientists and Geoscientists,3,3
"Geoscientists, Except Hydrologists and Geographers",19-2042.00,75.0,Geologists,1740,192040,Environmental Scientists and Geoscientists,3,3
Hydrologists,19-2043.00,75.0,Geologists,1740,192040,Environmental Scientists and Geoscientists,3,3
Environmental Restoration Planners,19-2041.02,75.0,Geologists,1740,192040,Environmental Scientists and Geoscientists,3,3
Climate Change Analysts,19-2041.01,75.0,Geologists,1740,192040,Environmental Scientists and Geoscientists,3,3
