ai_app_id,ability_id,r,r_mean,r_sd,r_min,r_max,n,r_range
1,59,0.15,0.15,0.0,0.15,0.15,3,0.0
1,60,0.03,0.02666666666666667,0.005773502691896255,0.02,0.03,3,0.009999999999999998
1,61,0.02,0.02,0.0,0.02,0.02,3,0.0
1,62,0.02,0.016666666666666666,0.015275252316519466,0.0,0.03,3,0.03
1,63,0.0,0.006666666666666667,0.011547005383792516,0.0,0.02,3,0.02
1,64,0.05,0.05000000000000001,0.0,0.05,0.05,3,0.0
1,65,0.1,0.08333333333333333,0.02886751345948129,0.05,0.1,3,0.05
1,66,0.02,0.013333333333333334,0.011547005383792516,0.0,0.02,3,0.02
1,67,0.05,0.05000000000000001,0.0,0.05,0.05,3,0.0
1,68,0.02,0.023333333333333334,0.005773502691896256,0.02,0.03,3,0.009999999999999998
1,69,0.15,0.15,0.0,0.15,0.15,3,0.0
1,70,0.03,0.03666666666666667,0.011547005383792518,0.03,0.05,3,0.020000000000000004
1,71,0.15,0.13333333333333333,0.02886751345948128,0.1,0.15,3,0.04999999999999999
1,72,0.1,0.09999999999999999,0.04999999999999999,0.05,0.15,3,0.09999999999999999
1,73,0.03,0.02666666666666667,0.005773502691896255,0.02,0.03,3,0.009999999999999998
1,74,0.03,0.02,0.01732050807568877,0.0,0.03,3,0.03
1,75,0.15,0.15,0.0,0.15,0.15,3,0.0
2,59,0.05,0.05000000000000001,0.0,0.05,0.05,3,0.0
2,60,0.05,0.04,0.017320508075688773,0.02,0.05,3,0.030000000000000002
2,61,0.02,0.023333333333333334,0.005773502691896256,0.02,0.03,3,0.009999999999999998
2,62,0.05,0.05000000000000001,0.0,0.05,0.05,3,0.0
2,63,0.0,0.01,0.017320508075688773,0.0,0.03,3,0.03
2,64,0.05,0.05000000000000001,0.0,0.05,0.05,3,0.0
2,65,0.05,0.08333333333333333,0.05773502691896257,0.05,0.15,3,0.09999999999999999
2,66,0.02,0.03,0.017320508075688777,0.02,0.05,3,0.030000000000000002
2,67,0.2,0.2333333333333333,0.05773502691896256,0.2,0.3,3,0.09999999999999998
2,68,0.05,0.06666666666666667,0.028867513459481294,0.05,0.1,3,0.05
2,69,0.05,0.06666666666666667,0.02886751345948129,0.05,0.1,3,0.05
2,70,0.05,0.06666666666666667,0.02886751345948129,0.05,0.1,3,0.05
2,71,0.1,0.08333333333333333,0.02886751345948129,0.05,0.1,3,0.05
2,72,0.03,0.03333333333333333,0.015275252316519468,0.02,0.05,3,0.030000000000000002
2,73,0.03,0.03666666666666667,0.011547005383792518,0.03,0.05,3,0.020000000000000004
2,74,0.02,0.016666666666666666,0.015275252316519468,0.0,0.03,3,0.03
2,75,0.25,0.25,0.04999999999999999,0.2,0.3,3,0.09999999999999998
3,59,0.15,0.15,0.0,0.15,0.15,3,0.0
3,60,0.05,0.05000000000000001,0.0,0.05,0.05,3,0.0
3,61,0.05,0.05000000000000001,0.0,0.05,0.05,3,0.0
3,62,0.03,0.02666666666666667,0.005773502691896255,0.02,0.03,3,0.009999999999999998
3,63,0.1,0.10666666666666667,0.011547005383792507,0.1,0.12,3,0.01999999999999999
3,64,0.05,0.05000000000000001,0.0,0.05,0.05,3,0.0
3,65,0.02,0.013333333333333334,0.011547005383792516,0.0,0.02,3,0.02
3,66,0.1,0.09999999999999999,0.02,0.08,0.12,3,0.039999999999999994
3,67,0.03,0.03666666666666667,0.011547005383792518,0.03,0.05,3,0.020000000000000004
3,68,0.02,0.013333333333333334,0.011547005383792516,0.0,0.02,3,0.02
3,69,0.05,0.06666666666666667,0.02886751345948129,0.05,0.1,3,0.05
3,70,0.05,0.043333333333333335,0.011547005383792518,0.03,0.05,3,0.020000000000000004
3,71,0.03,0.02666666666666667,0.005773502691896256,0.02,0.03,3,0.009999999999999998
3,72,0.05,0.06666666666666667,0.028867513459481294,0.05,0.1,3,0.05
3,73,0.3,0.3,0.0,0.3,0.3,3,0.0
3,74,0.03,0.03666666666666667,0.011547005383792518,0.03,0.05,3,0.020000000000000004
3,75,0.05,0.05000000000000001,0.0,0.05,0.05,3,0.0
4,59,0.5,0.5,0.0,0.5,0.5,3,0.0
4,60,0.2,0.2333333333333333,0.05773502691896256,0.2,0.3,3,0.09999999999999998
4,61,0.2,0.18333333333333335,0.028867513459481298,0.15,0.2,3,0.05000000000000002
4,62,0.05,0.06666666666666667,0.02886751345948129,0.05,0.1,3,0.05
4,63,0.2,0.18333333333333335,0.028867513459481298,0.15,0.2,3,0.05000000000000002
4,64,0.15,0.13333333333333333,0.02886751345948128,0.1,0.15,3,0.04999999999999999
4,65,0.05,0.05000000000000001,0.0,0.05,0.05,3,0.0
4,66,0.2,0.18333333333333335,0.02886751345948131,0.15,0.2,3,0.05000000000000002
