ai_app_id,ability_id,r,r_mean,r_sd,r_min,r_max,n,r_range
1,1,0.0,0.006666666666666667,0.011547005383792516,0.0,0.02,3,0.02
1,2,0.1,0.07666666666666667,0.04041451884327381,0.03,0.1,3,0.07
1,3,0.0,0.006666666666666667,0.011547005383792516,0.0,0.02,3,0.02
1,4,0.05,0.043333333333333335,0.011547005383792518,0.03,0.05,3,0.020000000000000004
1,5,0.65,0.65,0.049999999999999975,0.6,0.7,3,0.09999999999999998
1,6,0.75,0.75,0.0,0.75,0.75,3,0.0
1,7,0.72,0.8066666666666666,0.16772994167212169,0.7,1.0,3,0.30000000000000004
1,8,1.0,0.9500000000000001,0.08660254037844388,0.85,1.0,3,0.15000000000000002
1,9,0.75,0.79,0.09643650760992961,0.72,0.9,3,0.18000000000000005
1,10,0.75,0.7999999999999999,0.08660254037844387,0.75,0.9,3,0.15000000000000002
1,11,0.5,0.5,0.0,0.5,0.5,3,0.0
1,12,0.4,0.3833333333333333,0.07637626158259737,0.3,0.45,3,0.15000000000000002
1,13,0.3,0.3333333333333333,0.10408329997330666,0.25,0.45,3,0.2
1,14,0.5,0.5833333333333334,0.14433756729740646,0.5,0.75,3,0.25
1,15,1.0,1.0,0.0,1.0,1.0,3,0.0
1,16,1.0,1.0,0.0,1.0,1.0,3,0.0
1,17,0.8,0.7999999999999999,0.049999999999999975,0.75,0.85,3,0.09999999999999998
1,18,0.2,0.18333333333333335,0.028867513459481298,0.15,0.2,3,0.05000000000000002
1,19,0.72,0.7399999999999999,0.05291502622129186,0.7,0.8,3,0.10000000000000009
1,20,0.65,0.6,0.1322875655532295,0.45,0.7,3,0.24999999999999994
1,21,0.3,0.3,0.0,0.3,0.3,3,0.0
1,22,0.0,0.0,0.0,0.0,0.0,3,0.0
1,23,0.0,0.0,0.0,0.0,0.0,3,0.0
1,24,0.0,0.0,0.0,0.0,0.0,3,0.0
1,25,0.02,0.016666666666666666,0.015275252316519466,0.0,0.03,3,0.03
1,26,0.0,0.0,0.0,0.0,0.0,3,0.0
1,27,0.15,0.15,0.0,0.15,0.15,3,0.0
1,28,0.03,0.02666666666666667,0.005773502691896256,0.02,0.03,3,0.009999999999999998
1,29,0.05,0.06666666666666667,0.02886751345948129,0.05,0.1,3,0.05
1,30,0.0,0.0,0.0,0.0,0.0,3,0.0
1,31,0.0,0.0,0.0,0.0,0.0,3,0.0
1,32,0.0,0.0,0.0,0.0,0.0,3,0.0
1,33,0.0,0.0,0.0,0.0,0.0,3,0.0
