ai_app_id,ability_id,level,lo,hi,n,range
1,76,2.0,2.0,2.2,3,0.20000000000000018
1,77,2.5,2.4,3.2,3,0.8000000000000003
1,78,3.4,3.0,3.5,3,0.5
1,79,1.0,1.0,1.0,3,0.0
1,80,2.8,2.8,3.0,3,0.20000000000000018
1,81,2.5,2.5,3.4,3,0.8999999999999999
1,82,3.5,2.5,3.5,3,1.0
1,83,2.0,2.0,2.0,3,0.0
1,84,3.5,3.0,4.0,3,1.0
1,85,3.0,3.0,3.5,3,0.5
1,86,3.5,3.2,3.5,3,0.2999999999999998
1,87,2.5,2.5,2.5,3,0.0
1,88,1.8,1.8,2.3,3,0.4999999999999998
1,89,1.0,1.0,1.0,3,0.0
1,90,2.5,2.5,3.0,3,0.5
1,91,1.0,1.0,1.0,3,0.0
1,92,1.0,1.0,1.0,3,0.0
1,93,1.0,1.0,1.0,3,0.0
1,94,1.0,1.0,1.0,3,0.0
1,95,1.5,1.5,2.3,3,0.7999999999999998
1,96,1.0,1.0,1.0,3,0.0
1,97,1.0,1.0,1.0,3,0.0
1,98,1.0,1.0,1.0,3,0.0
1,99,2.0,2.0,2.0,3,0.0
2,76,3.4,3.0,3.5,3,0.5
2,77,3.4,3.0,3.5,3,0.5
2,78,3.5,3.4,3.5,3,0.10000000000000009
2,79,1.0,1.0,1.4,3,0.3999999999999999
2,80,3.0,3.0,3.0,3,0.0
2,81,2.5,2.2,2.5,3,0.2999999999999998
2,82,2.5,2.5,2.8,3,0.2999999999999998
2,83,1.5,1.0,1.5,3,0.5
2,84,2.5,2.5,3.0,3,0.5
2,85,3.2,3.0,3.2,3,0.20000000000000018
2,86,2.5,2.3,2.5,3,0.20000000000000018
2,87,2.0,2.0,2.3,3,0.2999999999999998
2,88,2.2,1.5,2.2,3,0.7000000000000002
2,89,1.5,1.5,1.5,3,0.0
2,90,3.5,3.5,4.0,3,0.5
2,91,1.0,1.0,1.0,3,0.0
2,92,1.0,1.0,1.0,3,0.0
2,93,2.4,2.4,3.0,3,0.6000000000000001
2,94,2.2,2.0,2.3,3,0.2999999999999998
2,95,2.3,2.3,2.5,3,0.20000000000000018
2,96,1.0,1.0,1.0,3,0.0
2,97,1.0,1.0,1.0,3,0.0
2,98,1.0,1.0,1.0,3,0.0
2,99,1.0,1.0,1.0,3,0.0
3,76,2.5,2.4,2.5,3,0.10000000000000009
3,77,3.4,3.2,3.4,3,0.19999999999999973
3,78,3.8,3.5,4.0,3,0.5
3,79,3.0,3.0,3.0,3,0.0
3,80,2.0,2.0,2.0,3,0.0
3,81,2.3,2.2,2.5,3,0.2999999999999998
3,82,3.0,3.0,3.0,3,0.0
3,83,2.0,2.0,2.2,3,0.20000000000000018
3,84,2.0,2.0,2.2,3,0.20000000000000018
3,85,1.8,1.6,2.0,3,0.3999999999999999
3,86,1.0,1.0,1.0,3,0.0
3,87,1.5,1.0,1.5,3,0.5
3,88,1.0,1.0,1.0,3,0.0
3,89,1.0,1.0,1.0,3,0.0
3,90,1.0,1.0,1.0,3,0.0
3,91,1.0,1.0,1.0,3,0.0
3,92,1.0,1.0,1.0,3,0.0
3,93,1.2,1.0,1.2,3,0.19999999999999996
3,94,1.0,1.0,1.0,3,0.0
3,95,2.5,2.2,2.5,3,0.2999999999999998
3,96,1.0,1.0,1.0,3,0.0
3,97,1.0,1.0,1.0,3,0.0
3,98,1.0,1.0,1.4,3,0.3999999999999999
3,99,2.3,2.3,2.5,3,0.20000000000000018
4,76,3.4,3.2,3.5,3,0.2999999999999998
4,77,2.5,2.5,2.5,3,0.0
4,78,3.3,3.2,3.4,3,0.19999999999999973
4,79,2.2,2.0,2.5,3,0.5
4,80,2.3,2.2,2.4,3,0.19999999999999973
4,81,2.5,2.3,2.5,3,0.20000000000000018
4,82,2.6,2.5,3.0,3,0.5
4,83,2.4,2.2,2.4,3,0.19999999999999973
4,84,3.0,2.8,3.0,3,0.20000000000000018
4,85,2.3,2.2,2.4,3,0.19999999999999973
4,86,2.0,2.0,2.0,3,0.0
4,87,2.0,2.0,2.0,3,0.0
4,88,1.2,1.2,1.2,3,0.0
4,89,1.2,1.0,1.3,3,0.30000000000000004
4,90,1.2,1.0,1.3,3,0.30000000000000004
4,91,1.0,1.0,1.0,3,0.0
4,92,1.0,1.0,1.0,3,0.0
4,93,1.0,1.0,1.0,3,0.0
4,94,1.0,1.0,1.0,3,0.0
4,95,2.3,2.2,2.5,3,0.2999999999999998
4,96,1.7,1.7,1.8,3,0.10000000000000009
4,97,1.0,1.0,1.0,3,0.0
4,98,1.0,1.0,1.0,3,0.0
4,99,2.5,2.3,2.5,3,0.20000000000000018
5,76,2.3,2.2,2.4,3,0.19999999999999973
5,77,1.0,1.0,1.5,3,0.5
5,78,2.0,1.5,2.2,3,0.7000000000000002
5,79,1.0,1.0,1.0,3,0.0
5,80,1.5,1.5,2.0,3,0.5
5,81,1.3,1.2,1.5,3,0.30000000000000004
5,82,1.5,1.2,1.5,3,0.30000000000000004
5,83,1.0,1.0,1.3,3,0.30000000000000004
5,84,1.3,1.2,1.3,3,0.10000000000000009
5,85,1.8,1.5,2.0,3,0.5
5,86,4.0,4.0,4.2,3,0.20000000000000018
5,87,1.8,1.5,2.0,3,0.5
5,88,1.0,1.0,1.0,3,0.0
5,89,1.0,1.0,1.0,3,0.0
5,90,1.2,1.0,1.5,3,0.5
5,91,1.0,1.0,1.0,3,0.0
5,92,1.0,1.0,1.0,3,0.0
5,93,1.0,1.0,1.0,3,0.0
5,94,1.0,1.0,1.0,3,0.0
5,95,2.5,2.5,2.5,3,0.0
5,96,1.5,1.5,1.7,3,0.19999999999999996
5,97,1.0,1.0,1.0,3,0.0
5,98,1.0,1.0,1.0,3,0.0
5,99,1.3,1.2,1.5,3,0.30000000000000004
6,76,4.2,4.0,4.2,3,0.20000000000000018
6,77,2.4,2.3,2.5,3,0.20000000000000018
6,78,3.5,3.4,3.5,3,0.10000000000000009
6,79,1.0,1.0,1.0,3,0.0
6,80,2.4,2.2,2.5,3,0.2999999999999998
6,81,2.3,2.3,2.5,3,0.20000000000000018
6,82,3.5,3.5,3.5,3,0.0
6,83,3.0,2.5,3.0,3,0.5
6,84,3.0,3.0,3.5,3,0.5
6,85,2.5,2.3,2.5,3,0.20000000000000018
6,86,1.5,1.5,2.0,3,0.5
6,87,3.0,3.0,3.5,3,0.5
6,88,1.4,1.3,1.5,3,0.19999999999999996
6,89,1.5,1.3,1.5,3,0.19999999999999996
6,90,1.2,1.0,1.3,3,0.30000000000000004
6,91,1.0,1.0,1.0,3,0.0
6,92,1.0,1.0,1.0,3,0.0
6,93,1.0,1.0,1.0,3,0.0
6,94,1.0,1.0,1.0,3,0.0
6,95,2.5,2.5,2.8,3,0.2999999999999998
6,96,1.5,1.5,1.7,3,0.19999999999999996
6,97,1.0,1.0,1.0,3,0.0
6,98,1.0,1.0,1.0,3,0.0
6,99,2.5,2.5,2.8,3,0.2999999999999998
7,76,3.5,3.5,4.2,3,0.7000000000000002
7,77,2.2,2.0,2.5,3,0.5
7,78,3.0,3.0,3.5,3,0.5
7,79,1.0,1.0,1.3,3,0.30000000000000004
7,80,3.0,2.5,3.0,3,0.5
7,81,3.0,3.0,3.0,3,0.0
7,82,3.5,3.0,3.5,3,0.5
7,83,3.4,3.2,3.4,3,0.19999999999999973
7,84,3.5,3.2,3.5,3,0.2999999999999998
7,85,3.3,3.2,3.5,3,0.2999999999999998
7,86,4.5,4.3,4.5,3,0.20000000000000018
7,87,3.0,2.5,3.3,3,0.7999999999999998
7,88,3.0,2.5,3.0,3,0.5
7,89,3.0,3.0,3.2,3,0.20000000000000018
7,90,3.4,3.0,3.5,3,0.5
7,91,1.0,1.0,1.0,3,0.0
7,92,1.0,1.0,1.0,3,0.0
7,93,1.0,1.0,1.0,3,0.0
7,94,1.0,1.0,1.0,3,0.0
7,95,3.5,3.5,4.0,3,0.5
7,96,3.0,2.5,3.3,3,0.7999999999999998
7,97,1.0,1.0,1.0,3,0.0
7,98,1.0,1.0,1.0,3,0.0
7,99,3.2,3.0,3.5,3,0.5
8,76,3.4,2.7,3.5,3,0.7999999999999998
8,77,1.2,1.2,1.5,3,0.30000000000000004
8,78,3.0,2.5,3.4,3,0.8999999999999999
8,79,1.0,1.0,1.0,3,0.0
8,80,1.0,1.0,1.3,3,0.30000000000000004
8,81,1.3,1.3,1.5,3,0.19999999999999996
8,82,2.0,1.8,2.0,3,0.19999999999999996
8,83,1.3,1.3,1.5,3,0.19999999999999996
8,84,2.0,1.8,2.0,3,0.19999999999999996
8,85,2.2,2.2,2.5,3,0.2999999999999998
8,86,3.0,3.0,3.2,3,0.20000000000000018
8,87,2.2,2.0,2.5,3,0.5
8,88,1.0,1.0,1.0,3,0.0
8,89,1.0,1.0,1.0,3,0.0
8,90,1.2,1.2,1.3,3,0.10000000000000009
8,91,1.0,1.0,1.0,3,0.0
8,92,1.0,1.0,1.0,3,0.0
8,93,1.0,1.0,1.0,3,0.0
8,94,1.0,1.0,1.0,3,0.0
8,95,2.2,2.2,2.6,3,0.3999999999999999
8,96,1.4,1.3,1.5,3,0.19999999999999996
8,97,1.0,1.0,1.0,3,0.0
8,98,1.0,1.0,1.0,3,0.0
8,99,2.5,2.5,2.5,3,0.0
9,76,2.5,2.5,3.0,3,0.5
9,77,2.2,2.2,2.5,3,0.2999999999999998
9,78,3.2,3.0,3.5,3,0.5
9,79,1.0,1.0,1.0,3,0.0
9,80,1.0,1.0,1.0,3,0.0
9,81,1.2,1.2,1.4,3,0.19999999999999996
9,82,2.0,2.0,2.2,3,0.20000000000000018
9,83,1.0,1.0,1.0,3,0.0
9,84,1.2,1.2,1.3,3,0.10000000000000009
9,85,1.2,1.0,1.2,3,0.19999999999999996
9,86,1.0,1.0,1.0,3,0.0
9,87,1.4,1.2,1.5,3,0.30000000000000004
9,88,1.0,1.0,1.0,3,0.0
9,89,1.0,1.0,1.2,3,0.19999999999999996
9,90,1.0,1.0,1.0,3,0.0
9,91,1.0,1.0,1.0,3,0.0
9,92,1.0,1.0,1.0,3,0.0
9,93,1.0,1.0,1.0,3,0.0
9,94,1.0,1.0,1.0,3,0.0
9,95,2.5,2.2,2.5,3,0.2999999999999998
9,96,1.0,1.0,1.0,3,0.0
9,97,1.0,1.0,1.0,3,0.0
9,98,1.0,1.0,1.0,3,0.0
9,99,3.0,3.0,3.2,3,0.20000000000000018
