ai_app_id,ability_id
1,7
1,8
1,15
1,16
1,6
1,10
1,14
1,19
1,1
1,32
1,33
1,35
1,39
1,42
1,46
1,52
2,7
2,8
2,15
2,17
2,19
2,23
2,25
2,50
2,3
2,34
2,39
2,40
2,42
2,46
2,52
2,1
3,41
3,44
3,45
3,47
3,11
3,16
3,42
3,46
3,1
3,22
3,26
3,30
3,33
3,37
3,48
3,52
4,41
4,44
4,45
4,5
4,11
4,42
4,43
4,47
4,1
4,24
4,28
4,31
4,34
4,37
4,48
4,51
5,6
5,19
5,5
5,4
5,12
5,16
5,44
5,47
5,1
5,22
5,26
5,30
5,33
5,37
5,48
5,52
6,2
6,8
6,9
6,4
6,6
6,11
6,15
6,17
6,3
6,24
6,28
6,33
6,38
6,43
6,47
6,52
7,2
7,11
7,6
7,8
7,9
7,10
7,15
7,1
7,13
7,24
7,29
7,33
7,37
7,41
7,46
7,50
8,2
8,4
8,8
8,1
8,10
8,14
8,49
8,52
8,13
8,23
8,27
8,31
8,35
8,39
8,43
8,47
9,1
9,49
9,51
9,48
9,50
9,52
9,2
9,16
9,13
9,24
9,28
9,32
9,35
9,39
9,43
9,47
10,5
10,6
10,7
10,8
10,9
10,10
10,11
10,12
10,18
10,25
10,28
10,32
10,36
10,42
10,45
10,50
11,6
11,7
11,8
11,10
11,12
11,5
11,9
11,15
11,3
11,23
11,28
11,32
11,36
11,40
11,45
11,50
12,5
12,10
12,12
12,2
12,6
12,7
12,8
12,11
12,17
12,25
12,29
12,34
12,38
12,43
12,47
12,52
